id,type,name,external_id
x-mitre-data-component--8d8c7cac-94cf-4726-8989-cab33851168c,x-mitre-data-component,Group Metadata,
x-mitre-data-component--8e44412e-3238-4d64-8878-4f11e27784fe,x-mitre-data-component,Group Enumeration,
x-mitre-data-component--8fb2f315-1aca-4cef-ae0d-8105e1f95985,x-mitre-data-component,Social Media,
x-mitre-data-component--9085a576-636a-455b-91d2-c2921bbe6d1d,x-mitre-data-component,Active Directory Object Deletion,
x-mitre-data-component--91b3ed33-d1b5-4c4b-a896-76c55eb3cfd8,x-mitre-data-component,Container Enumeration,
x-mitre-data-component--93a6e38c-02a5-44d8-9035-b2e08459f31f,x-mitre-data-component,Malware Metadata,
x-mitre-data-component--9bde2f9d-a695-4344-bfac-f2dce13d121e,x-mitre-data-component,OS API Execution,
x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,x-mitre-data-component,Application Log Content,
x-mitre-data-component--9ce98c86-8d30-4043-ba54-0784d478d0b5,x-mitre-data-component,Logon Session Creation,
x-mitre-data-component--9f387817-df83-432a-b56b-a8fb7f71eedd,x-mitre-data-component,Script Execution,
x-mitre-data-component--a5ae90ca-0c4b-481c-959f-0eb18a7ff953,x-mitre-data-component,Container Creation,
x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,x-mitre-data-component,Network Traffic Flow,
x-mitre-data-component--a953ca55-921a-44f7-9b8d-3d40141aa17e,x-mitre-data-component,User Account Authentication,
x-mitre-data-component--b008766d-f34f-4ded-b712-659f59aaed6e,x-mitre-data-component,Image Creation,
x-mitre-data-component--b33d36e3-d7ea-4895-8eed-19a08a8f7c4f,x-mitre-data-component,Cloud Service Metadata,
x-mitre-data-component--b597a220-6510-4397-b0d8-342cd2c58827,x-mitre-data-component,Image Metadata,
x-mitre-data-component--b5b0e8ae-7436-4951-950a-7b83c4dd3f2c,x-mitre-data-component,Instance Creation,
x-mitre-data-component--b5d0492b-cda4-421c-8e51-ed2b8d85c5d0,x-mitre-data-component,User Account Metadata,
x-mitre-data-component--b9a1578e-8653-4103-be23-cb52e0b1816e,x-mitre-data-component,Named Pipe Metadata,
x-mitre-data-component--b9d031bb-d150-4fc6-8025-688201bf3ffd,x-mitre-data-component,Firmware Modification,
x-mitre-data-component--bf91faa8-0049-4870-810a-4df55e0b77ee,x-mitre-data-component,Firewall Enumeration,
x-mitre-data-component--c0a4a086-cc20-4e1e-b7cb-29d99dfa3fb1,x-mitre-data-component,Module Load,
x-mitre-data-component--c0edd522-0aef-46b3-8efa-2bd334ce4242,x-mitre-data-component,Pod Metadata,
x-mitre-data-component--c97d0171-f6e0-4415-85ff-4082fdb8c72a,x-mitre-data-component,Firewall Disable,
x-mitre-data-component--cc150ad8-ecfa-4340-9aaa-d21165873bd4,x-mitre-data-component,Passive DNS,
x-mitre-data-component--d27b0089-2c39-4b6c-84ff-303e48657e77,x-mitre-data-component,User Account Modification,
x-mitre-data-component--d2ff4b56-8351-4ed8-b0fb-d8605366005f,x-mitre-data-component,Firewall Rule Modification,
x-mitre-data-component--d46272ce-a0fe-4256-855e-738de7bb63ee,x-mitre-data-component,Volume Modification,
x-mitre-data-component--d5fca4e4-e47a-487b-873f-3d22f8865e96,x-mitre-data-component,Process Modification,
x-mitre-data-component--d6257b8e-869c-41c0-8731-fdca40858a91,x-mitre-data-component,User Account Deletion,
x-mitre-data-component--da85d358-741a-410d-9433-20d6269a6170,x-mitre-data-component,Windows Registry Key Modification,
x-mitre-data-component--dad75cc7-5bae-4175-adb4-ca1962d8650e,x-mitre-data-component,Volume Creation,
x-mitre-data-component--deb22295-7e37-4a3b-ac6f-c86666fbe63d,x-mitre-data-component,User Account Creation,
