id,type,name,external_id
tool--cf23bf4a-e003-4116-bbae-1ea6c558d565,tool,ftp,S0095
tool--d505fc8b-2e64-46eb-96d6-9ef7ffca5b66,tool,Mythic,S0699
tool--d5e96a35-7b0b-4c6a-9533-d63ecbda563e,tool,HTRAN,S0040
tool--d8d19e33-94fd-4aa3-b94a-08ee801a2153,tool,SDelete,S0195
tool--da04ac30-27da-4959-a67d-450ce47d9470,tool,QuasarRAT,S0262
tool--e33267fe-099f-4af2-8730-63d49f8813b2,tool,Rubeus,S1071
tool--ed7d0cb1-87a6-43b4-9f46-ef1bc56d6c68,tool,Tor,S0183
tool--f59508a6-3615-47c3-b493-6676e1a39a87,tool,AdFind,S0552
tool--f91162cc-1686-4ff8-8115-bf3f61a4cc7a,tool,Wevtutil,S0645
tool--fbd727ea-c0dc-42a9-8448-9e12962d1ab5,tool,Havij,S0224
tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db,tool,PsExec,S0029
tool--aafea02e-ece5-4bb2-91a6-3bf8c7f38a39,tool,Cobalt Strike,S0154
